"","emotion","mean_kappa","se_kappa","sd_kappa","n"
"1","anger",0.401242301077211,0.0864189642597855,0.193238678630005,5
"2","disgust",0.174155892673685,0.150413354814552,0.336334486089134,6
"3","fear",0.166438049584174,0.0353121427932004,0.0789603517167754,5
"4","happiness",0.257538427930534,0.078652551807734,0.192658618896767,6
"5","sadness",0.153036143601834,0.0456846181816052,0.111904003638808,6
"6","surprise",-0.0482592596823801,0.0716669477493389,0.124130794725239,3
