file,row_type,file,line,token_len,score_joy,score_sadness,score_anticipation,score_surprise,score_anger,score_fear,score_disgust,score_trust,text
001_8emo,summary,001.docx,1607,45035,0.1666475078141735,0.12928402562050223,0.23702363287157818,0.1942388293488089,0.02880743619224941,0.10461654370782784,0.14041077968196197,0.03655398181848536,Average Token Length: 28.02
002_8emo,summary,002.docx,824,25103,0.13016654071974504,0.1313460149064217,0.25249514412033164,0.21126301520621604,0.01634521821518858,0.15683138420922882,0.13068209043523135,0.030935151692653907,Average Token Length: 30.46
003_8emo,summary,003.docx,1255,19894,0.17006367181513118,0.11849180013943182,0.33194054195664796,0.16502314801977214,0.007573539013436353,0.12803767186077497,0.06764950708864606,0.027589632559148407,Average Token Length: 15.85
004_8emo,summary,004.docx,1860,32458,0.120977550618706,0.12363795904362554,0.2817506525336304,0.22652683412025293,0.010417263249438556,0.1547223071102053,0.08552817686258124,0.027473446195169043,Average Token Length: 17.45
006_8emo,summary,006.docx,738,21375,0.19589352856458322,0.11660289455730176,0.28250835913196864,0.19967153668592919,0.010970522541689074,0.14632170043411213,0.0975089863013365,0.04138002070225397,Average Token Length: 28.96
007_8emo,summary,007.docx,1094,18978,0.11487728265183084,0.10668965707059738,0.24919629327772386,0.2120753247673935,0.010953136601858182,0.09924210655635778,0.08230152179425756,0.017399569852996986,Average Token Length: 17.35
008_8emo,summary,008.docx,1167,28233,0.15374464252680356,0.1070790310496434,0.20552859746973925,0.2007436541774196,0.009239230519182575,0.09807068493293843,0.08596074486178472,0.027279576937282567,Average Token Length: 24.19
009_8emo,summary,009.docx,1077,21286,0.21845905857178846,0.09292765480648647,0.25607639630891543,0.21704512987866956,0.009703691507570321,0.08408324005205042,0.07639978156393064,0.03468121173264097,Average Token Length: 19.76
010_8emo,summary,010.docx,1407,34464,0.16798805843197423,0.10555005294132472,0.24024181216511697,0.22546257951324006,0.010957989785105371,0.1023275286224674,0.09102272125759957,0.026755097296516536,Average Token Length: 24.49
011_8emo,summary,011.docx,1256,29772,0.19992728526095985,0.09863687460355247,0.24805242872732441,0.1883128288281328,0.013390327723245256,0.10334576071951106,0.09152859049440647,0.04063967658660247,Average Token Length: 23.70
012_8emo,summary,012.docx,975,29564,0.19751642102781589,0.11457472694846682,0.2655510804377114,0.18739853034082513,0.012834458088872428,0.12435279871360996,0.11281234493670173,0.04137616403353138,Average Token Length: 30.32
013_8emo,summary,013.docx,1070,25723,0.2135590297581245,0.11250684462252691,0.21755196131530835,0.16750344937214645,0.01132335885641139,0.0915962841718623,0.09262751299282972,0.03357855675809486,Average Token Length: 24.04
