"","emotion","r","pval"
"1","anger",0.314912886754163,0.00314521392189516
"2","disgust",0.375696251764221,0.000364404535830432
"3","fear",-0.0387381541822117,0.723249691484357
"4","happiness",0.377521680639483,0.000339248657428349
"5","sadness",-0.0298632130402229,0.784892846924853
"6","surprise",0.27575551622445,0.0101738422346393
